# krno	tit	no of sp	uniq sp
KR1a0001	周易(正文)-周-	15659	2535
KR1a0002	子夏易傳-周-卜商	49567	4450
KR1a0003	周易鄭康成註-漢-鄭玄	6831	2114
KR1a0004	增補鄭氏周易-漢-鄭玄	9835	2572
KR1a0005	陸氏易解-吳-陸績	3382	1367
KR1a0006	周易註-魏-王弼	49912	4358
KR1a0007	周易註疏-魏-王弼	203301	8584
KR1a0008	周易集解-唐-李鼎祚	98501	5911
KR1a0009	周易口訣義-唐-史徵	40275	4216
KR1a0010	周易擧正-唐-郭京	8246	1825
KR1a0011	易數鈎隱圖-宋-劉牧	9752	1917
KR1a0012	周易口義-宋-胡瑗	155969	7248
KR1a0013	溫公易說-宋-司馬光	29427	4145
KR1a0014	橫渠易說-宋-張載	38370	4731
KR1a0015	東坡易傳-宋-蘇軾	56910	4924
KR1a0016	伊川易傳-宋-程頤	95748	5715
KR1a0017	易學辨惑-宋-邵伯溫	5233	2058
KR1a0018	了齋易說-宋-陳瓘	21803	2872
KR1a0019	吳園周易解-宋-張根	31447	4125
KR1a0020	周易新講義-宋-耿南仲	51619	4613
KR1a0021	紫巖易傳-宋-張浚	111038	6511
KR1a0022	讀易詳說-宋-李光	78621	6366
KR1a0023	易小傳-宋-沈該	83824	5214
KR1a0024	漢上易傳-宋-朱震	162958	7869
KR1a0025	周易窺餘-宋-鄭剛中	82366	6078
KR1a0026	易璇璣-宋-吳沆	13050	2512
KR1a0027	易變體義-宋-都絜	68378	4832
KR1a0028	周易經傳集解-宋-林栗	212512	8611
KR1a0029	易原-宋-程大昌	38169	3765
KR1a0030	周易古占法-宋-程迥	9515	2605
KR1a0031	原本周易本義-宋-朱熹	46926	4836
KR1a0032	別本周易本義-宋-朱熹	49739	4847
KR1a0033	郭氏傳家易說-宋-郭雍	110789	6395
KR1a0034	周易義海撮要-宋-李衡	150925	7765
KR1a0035	南軒易說-宋-張栻	21249	3615
KR1a0036	復齋易說-宋-趙彥肅	17935	2940
KR1a0037	楊氏易傳-宋-楊簡	86856	6228
KR1a0038	周易玩辭-宋-項安世	91421	6600
KR1a0039	趙氏易說-宋-趙善譽	26223	3126
KR1a0040	誠齋易傳-宋-楊萬里	105161	7239
KR1a0041	大易粹言-宋-方聞一	310418	9183
KR1a0042	易圖說-宋-吳仁傑	6987	1375
KR1a0043	古周易-宋-呂祖謙	10349	2148
KR1a0044	易傳燈-宋-徐總幹	18117	2681
KR1a0045	易裨傳-宋-林至	9359	1701
KR1a0046	厚齋易學-宋-馮椅	302030	9943
KR1a0047	童溪易傳-宋-王宗傳	158490	7881
KR1a0048	周易總義-宋-易祓	89076	5544
KR1a0049	西谿易說-宋-李過	60714	5672
KR1a0050	丙子學易編-宋-李心傳	7505	2281
KR1a0051	易通-宋-趙以夫	48669	3913
KR1a0052	周易赴爻經傳訓解-宋-蔡淵	35214	3586
KR1a0053	易象意言-宋-蔡淵	6378	1537
KR1a0054	周易要義-宋-魏了翁	77056	6101
KR1a0055	易翼傳-宋-鄭汝諧	41515	4424
KR1a0056	文公易說-宋-朱鑑	205033	9079
KR1a0057	易學啟蒙小傳-宋-稅與權	7170	1631
KR1a0058	周易輯聞-宋-趙汝楳	131493	8339
KR1a0059	用易詳解-宋-李杞	85565	6724
KR1a0060	淙山讀周易-宋-方實孫	132115	6508
KR1a0061	周易傳義附錄-宋-董楷	246770	8858
KR1a0062	易學啟蒙通釋-宋-胡方平	39185	3525
KR1a0063	三易備遺-宋-朱元昇	20799	2831
KR1a0064	周易集說-宋-兪琰	156562	8156
KR1a0065	讀易擧要-宋-兪琰	30285	4378
KR1a0066	易象義-宋-丁易東	128300	6473
KR1a0067	易圖通變-宋-雷思齊	23099	3171
KR1a0068	讀易私言-元-許衡	2889	946
KR1a0069	易附錄纂註-元-胡一桂	146905	7871
KR1a0070	周易啟蒙翼傳-元-胡一桂	89244	8386
KR1a0071	易纂言-元-吳澄	149383	7669
KR1a0072	易纂言外翼-元-吳澄	37721	4218
KR1a0073	易源奧義-元-保巴	83353	5973
KR1a0074	周易程朱傳義折衷-元-趙采	179809	7936
KR1a0075	周易衍義-元-胡震	180029	9372
KR1a0076	易學濫觴-元-黃澤	6169	1975
KR1a0077	大易緝說-元-王申子	109208	6576
KR1a0078	周易本義通釋-元-胡炳文	106238	5909
KR1a0079	周易本義集成-元-熊良輔	181654	7741
KR1a0080	大易象數鈎深圖-元-張理	9354	2123
KR1a0081	學易記-元-李簡	122332	7640
KR1a0082	周易集傳-元-龍仁夫	70040	5800
KR1a0083	讀易考原-元-蕭漢中	10560	1374
KR1a0084	易精蘊大義-元-解蒙	82941	5877
KR1a0085	易學變通-元-曾貫	27283	3310
KR1a0086	周易會通-元-董眞卿	477099	11893
KR1a0087	周易圖說-元-錢義方	7841	1890
KR1a0088	周易爻變易縕-元-陳應潤	80310	7480
KR1a0089	周易參義-元-梁寅	87051	6059
KR1a0090	周易文詮-元-趙汸	92286	6395
KR1a0091	周易傳義大全-明-胡廣	440397	10520
KR1a0092	易經蒙引-明-蔡清	332873	10894
KR1a0093	讀易餘言-明-崔銑	39208	5456
KR1a0094	啟蒙意見-明-韓邦奇	22344	2255
KR1a0095	易經存疑-明-林希元	173793	8830
KR1a0096	周易辯錄-明-楊爵	54857	5582
KR1a0097	易像鈔-明-胡居仁	121305	8744
KR1a0098	周易象旨決錄-明-熊過	99112	6727
KR1a0099	易象鈎解-明-陳士元	31190	3856
KR1a0100	周易集註-明-來知德	167754	7688
KR1a0101	讀易紀聞-明-張獻翼	72997	7064
KR1a0102	葉八白易傳-明-葉山	137219	11145
KR1a0103	讀易述-明-潘士藻	236707	9008
KR1a0104	像象管見-明-錢一本	117729	6733
KR1a0105	周易劄記-明-逯中立	26170	4061
KR1a0106	周易易簡說-明-高攀龍	35259	4021
KR1a0107	易義古象通-明-魏濬	79730	7739
KR1a0108	周易像象述-明-吳桂森	133582	7121
KR1a0109	易用-明-陳祖念	42587	5335
KR1a0110	易象正-明-黃道周	195095	10356
KR1a0111	兒易內儀以-明-倪元璐	70256	6556
KR1a0112	卦變考略-明-董守諭	10173	1832
KR1a0113	古周易訂詁-明-何楷	307936	11447
KR1a0114	周易玩辭困學記-明-張次仲	202325	10671
KR1a0115	易經通注-清-傅以漸	72604	6539
KR1a0116	日講易經解義-清-牛鈕	216910	9064
KR1a0117	御纂周易折中-清-李光地	362101	9885
KR1a0118	御纂周易述義-清-傅恒	94564	6550
KR1a0119	讀易大旨-清-孫奇逢	60408	6201
KR1a0120	周易稗疏-清-王夫之	13640	3415
KR1a0121	易酌-清-刁包	181328	9599
KR1a0122	田間易學-清-錢澄之	217963	9657
KR1a0123	易學象數論-清-黃宗羲	48202	4925
KR1a0124	周易象辭-清-黃宗炎	265535	11675
KR1a0125	周易筮述-清-王弘撰	75886	7743
KR1a0126	仲氏易-清-毛奇齡	145735	8258
KR1a0127	推易始末-清-毛奇齡	14782	2023
KR1a0128	春秋占筮書-清-毛奇齡	12742	2739
KR1a0129	易小帖-清-毛奇齡	27082	4077
KR1a0130	易俟-清-喬萊	99310	7188
KR1a0131	讀易日鈔-清-張烈	106797	6588
KR1a0132	周易通論-清-李光地	33543	4049
KR1a0133	周易觀彖-清-李光地	70509	5585
KR1a0134	周易淺述-清-陳夢雷	133827	6744
KR1a0135	易原就正-清-包儀	114966	6325
KR1a0136	大易通解-清-魏荔彤	257245	8327
KR1a0137	易經衷論-清-張英	25351	3672
KR1a0138	易圖明辨-清-胡渭	74453	7175
KR1a0139	合訂刪補大易集義粹言-清-納喇性德	641904	11904
KR1a0140	周易傳註-清-李塨	92478	7208
KR1a0141	周易劄記-清-楊名時	16736	3230
KR1a0142	周易傳義合訂-清-朱軾	112259	7370
KR1a0143	周易玩辭集解-清-查愼行	181211	8850
KR1a0144	惠氏易說-清-惠士奇	41446	5776
KR1a0145	周易函書約存-清-胡煦	460791	11856
KR1a0146	易箋-清-陳法	101567	7103
KR1a0147	學易初津-清-晏斯盛	23584	3552
KR1a0148	易翼宗-清-晏斯盛	70713	5897
KR1a0149	易翼說-清-晏斯盛	82075	6446
KR1a0150	周易孔義集說-清-沈起元	234485	8857
KR1a0151	易翼述信-清-王又樸	143498	7787
KR1a0152	周易淺釋-清-潘思榘	79225	5747
KR1a0153	周易洗心-清-任啟運	137596	7784
KR1a0154	豐川易說-清-王心敬	104282	6414
KR1a0155	周易述-清-惠棟	200644	7945
KR1a0156	易漢學-清-惠棟	30673	4262
KR1a0157	易例-清-惠棟	20841	3328
KR1a0158	易象大意存解-清-任陳晉	11816	2569
KR1a0159	大易擇言-清-程廷祚	216707	8378
KR1a0160	周易辨畫-清-連斗山	187029	7953
KR1a0161	周易圖書質疑-清-趙繼序	80358	5583
KR1a0162	周易章句證異-清-翟圴廉	65777	5273
KR1a0163	乾坤鑿度-漢-鄭玄	9330	2274
KR1a0164	易緯稽覽圖-漢-鄭玄	11969	2157
KR1a0165	易緯辨終備-漢-鄭玄	946	499
KR1a0166	周易乾鑿度-漢-鄭玄	11483	2348
KR1a0167	易緯通卦驗-漢-鄭玄	10934	2122
KR1a0168	易緯乾元序制記-漢-鄭玄	2153	784
KR1a0169	易緯是類謀-漢-鄭玄	4868	1441
KR1a0170	易緯坤靈圖-漢-鄭玄	516	311
KR1b0001	尚書(正文)--	23944	3348
KR1b0002	監本纂圖重言重意互註點校尚書-漢-	83219	6614
KR1b0003	尚書正義-唐-孔穎達	218875	9973
KR1b0004	尚書注疏-漢-孔安國	326310	11643
KR1b0005	洪範口義-宋-胡瑗	12554	2857
KR1b0006	書傳-宋-蘇軾	62057	6963
KR1b0007	尚書全解-宋-林之奇	364517	12149
KR1b0008	禹貢指南-宋-毛晃	21345	3469
KR1b0009	禹貢論-宋-程大昌	43670	4796
KR1b0010	尚書講義-宋-史浩	100425	8026
KR1b0011	夏氏尚書詳解-宋-夏僎	257632	10684
KR1b0012	禹貢說斷-宋-傅寅	49857	5597
KR1b0013	增修東萊書說-宋-呂祖謙	141275	8832
KR1b0014	尚書說-宋-黃度	108169	8699
KR1b0015	五誥解-宋-楊簡	10704	2376
KR1b0016	絜齋家塾書鈔-宋-袁燮	121963	8358
KR1b0017	書經集傳-宋-蔡沈	113239	8986
KR1b0018	尚書精義-宋-黃倫	230595	10918
KR1b0019	陳氏尚書詳解-宋-陳經	192833	9738
KR1b0020	融尚書解-宋-錢時	81992	7291
KR1b0021	洪範統一-宋-趙善湘	4635	1347
KR1b0022	尚書要義-宋-魏了翁	83065	7656
KR1b0023	書集傳或問-宋-陳大猷	39577	6090
KR1b0024	胡氏尚書詳解-宋-胡士行	66878	7378
KR1b0025	尚書表注-宋-金履祥	23594	3718
KR1b0026	書纂言-元-吳澄	85129	8087
KR1b0027	書集傳纂疏-元-陳櫟	221468	11191
KR1b0028	讀書叢說-元-許謙	28262	4978
KR1b0029	書傳輯錄纂註-元-董鼎	271069	12150
KR1b0030	尚書通考-元-黃鎭成	77782	7948
KR1b0031	書蔡氏傳旁通-元-陳師凱	86821	9331
KR1b0032	讀書管見-元-王充耘	26769	4636
KR1b0033	書義斷法-元-陳悅道	29854	4404
KR1b0034	尚書纂傳-元-王天與	213240	11518
KR1b0035	尚書句解-元-朱祖義	82688	7641
KR1b0036	書傳會選-明-劉三吾	155779	10296
KR1b0037	書經大全-明-胡廣	281193	12035
KR1b0038	尚書考異-明-梅鷟	40893	5834
KR1b0039	尚書疑義-明-馬明衡	50928	6339
KR1b0040	尚書日記-明-王樵	216145	11584
KR1b0041	尚書砭蔡編-明-袁仁	9088	2744
KR1b0042	尚書注考-明-陳泰交	8794	2050
KR1b0043	尚書疏衍-明-陳第	30632	5569
KR1b0044	洪範明義-明-黃道周	68520	6998
KR1b0045	日講書經解義-清-庫勒納	164058	9105
KR1b0046	欽定書經傳說彙纂-清-王頊齡	373837	13121
KR1b0047	尚書稗疏-清-王夫之	59380	7177
